Iph = 0.2, vL = 3.0100000000000002, iL = 0.16971824345749884
Iph = 0.2, vL = 3.02, iL = 0.16961786995691885
Iph = 0.2, vL = 3.0300000000000002, iL = 0.1695174778217027
Iph = 0.2, vL = 3.04, iL = 0.16941706631833633
Iph = 0.2, vL = 3.0500000000000003, iL = 0.1693166346844328
Iph = 0.2, vL = 3.06, iL = 0.16921618212759618
Iph = 0.2, vL = 3.0700000000000003, iL = 0.16911570782424024
Iph = 0.2, vL = 3.08, iL = 0.1690152109183607
Iph = 0.2, vL = 3.09, iL = 0.1689146905202596
Iph = 0.2, vL = 3.1, iL = 0.16881414570521858
Iph = 0.2, vL = 3.11, iL = 0.16871357551212107
Iph = 0.2, vL = 3.12, iL = 0.1686129789420193
Iph = 0.2, vL = 3.13, iL = 0.16851235495664518
Iph = 0.2, vL = 3.14, iL = 0.16841170247686318
Iph = 0.2, vL = 3.15, iL = 0.16831102038106135
Iph = 0.2, vL = 3.16, iL = 0.16821030750347973
Iph = 0.2, vL = 3.17, iL = 0.16810956263247265
Iph = 0.2, vL = 3.18, iL = 0.16800878450870274
Iph = 0.2, vL = 3.19, iL = 0.16790797182326403
Iph = 0.2, vL = 3.2, iL = 0.16780712321573063
Iph = 0.2, vL = 3.21, iL = 0.16770623727212958
Iph = 0.2, vL = 3.22, iL = 0.16760531252283284
Iph = 0.2, vL = 3.23, iL = 0.16750434744036716
Iph = 0.2, vL = 3.24, iL = 0.1674033404371373
Iph = 0.2, vL = 3.25, iL = 0.16730228986305992
Iph = 0.2, vL = 3.2600000000000002, iL = 0.16720119400310426
Iph = 0.2, vL = 3.27, iL = 0.167100051074736
Iph = 0.2, vL = 3.2800000000000002, iL = 0.1669988592252605
Iph = 0.2, vL = 3.29, iL = 0.16689761652906177
Iph = 0.2, vL = 3.3000000000000003, iL = 0.16679632098473252
Iph = 0.2, vL = 3.31, iL = 0.1666949705120914
Iph = 0.2, vL = 3.3200000000000003, iL = 0.16659356294908287
Iph = 0.2, vL = 3.33, iL = 0.166492096048555
Iph = 0.2, vL = 3.34, iL = 0.1663905674749108
Iph = 0.2, vL = 3.35, iL = 0.1662889748006274
Iph = 0.2, vL = 3.36, iL = 0.16618731550263846
Iph = 0.2, vL = 3.37, iL = 0.1660855869585744
Iph = 0.2, vL = 3.38, iL = 0.16598378644285444
Iph = 0.2, vL = 3.39, iL = 0.1658819111226251
Iph = 0.2, vL = 3.4, iL = 0.1657799580535389
Iph = 0.2, vL = 3.41, iL = 0.16567792417536686
Iph = 0.2, vL = 3.42, iL = 0.1655758063074385
Iph = 0.2, vL = 3.43, iL = 0.16547360114390264
Iph = 0.2, vL = 3.44, iL = 0.16537130524880134
Iph = 0.2, vL = 3.45, iL = 0.16526891505095054
Iph = 0.2, vL = 3.46, iL = 0.16516642683861912
Iph = 0.2, vL = 3.47, iL = 0.16506383675399858
Iph = 0.2, vL = 3.48, iL = 0.16496114078745544
Iph = 0.2, vL = 3.49, iL = 0.16485833477155737
Iph = 0.2, vL = 3.5, iL = 0.16475541437486457
Iph = 0.2, vL = 3.5100000000000002, iL = 0.16465237509547678
Iph = 0.2, vL = 3.52, iL = 0.1645492122543268
Iph = 0.2, vL = 3.5300000000000002, iL = 0.1644459209882099
Iph = 0.2, vL = 3.54, iL = 0.16434249624253952
Iph = 0.2, vL = 3.5500000000000003, iL = 0.16423893276381782
Iph = 0.2, vL = 3.56, iL = 0.16413522509181042
Iph = 0.2, vL = 3.5700000000000003, iL = 0.16403136755141318
Iph = 0.2, vL = 3.58, iL = 0.16392735424419963
Iph = 0.2, vL = 3.59, iL = 0.16382317903963556
Iph = 0.2, vL = 3.6, iL = 0.1637188355659488
Iph = 0.2, vL = 3.61, iL = 0.16361431720063957
Iph = 0.2, vL = 3.62, iL = 0.16350961706061837
Iph = 0.2, vL = 3.63, iL = 0.16340472799195568
Iph = 0.2, vL = 3.64, iL = 0.16329964255922916
Iph = 0.2, vL = 3.65, iL = 0.163194353034452
Iph = 0.2, vL = 3.66, iL = 0.16308885138556656
Iph = 0.2, vL = 3.67, iL = 0.16298312926448486
Iph = 0.2, vL = 3.68, iL = 0.16287717799466064
Iph = 0.2, vL = 3.69, iL = 0.16277098855817174
Iph = 0.2, vL = 3.7, iL = 0.16266455158229592
Iph = 0.2, vL = 3.71, iL = 0.16255785732555858
Iph = 0.2, vL = 3.72, iL = 0.16245089566323317
Iph = 0.2, vL = 3.73, iL = 0.16234365607227152
Iph = 0.2, vL = 3.74, iL = 0.16223612761564257
Iph = 0.2, vL = 3.75, iL = 0.16212829892605593
Iph = 0.2, vL = 3.7600000000000002, iL = 0.16202015818904633
Iph = 0.2, vL = 3.77, iL = 0.16191169312539427
Iph = 0.2, vL = 3.7800000000000002, iL = 0.16180289097285572
Iph = 0.2, vL = 3.79, iL = 0.16169373846717558
Iph = 0.2, vL = 3.8000000000000003, iL = 0.1615842218223549
Iph = 0.2, vL = 3.81, iL = 0.16147432671014458
Iph = 0.2, vL = 3.8200000000000003, iL = 0.1613640382387338
Iph = 0.2, vL = 3.83, iL = 0.16125334093060206
Iph = 0.2, vL = 3.84, iL = 0.16114221869950307
Iph = 0.2, vL = 3.85, iL = 0.161030654826545
Iph = 0.2, vL = 3.86, iL = 0.16091863193533298
Iph = 0.2, vL = 3.87, iL = 0.16080613196613666
Iph = 0.2, vL = 3.88, iL = 0.16069313614904476
Iph = 0.2, vL = 3.89, iL = 0.1605796249760675
Iph = 0.2, vL = 3.9, iL = 0.16046557817214505
Iph = 0.2, vL = 3.91, iL = 0.16035097466501996
Iph = 0.2, vL = 3.92, iL = 0.1602357925539292
Iph = 0.2, vL = 3.93, iL = 0.16012000907706936
Iph = 0.2, vL = 3.94, iL = 0.16000360057778748
Iph = 0.2, vL = 3.95, iL = 0.1598865424694481
Iph = 0.2, vL = 3.96, iL = 0.15976880919892425
Iph = 0.2, vL = 3.97, iL = 0.15965037420865946
Iph = 0.2, vL = 3.98, iL = 0.15953120989724506
Iph = 0.2, vL = 3.99, iL = 0.15941128757845466
Iph = 0.2, vL = 4.0, iL = 0.15929057743867608
Iph = 0.2, vL = 4.01, iL = 0.1591690484926786
Iph = 0.2, vL = 4.0200000000000005, iL = 0.15904666853765054
Iph = 0.2, vL = 4.03, iL = 0.15892340410544017
Iph = 0.2, vL = 4.04, iL = 0.15879922041293035
Iph = 0.2, vL = 4.05, iL = 0.15867408131047403
Iph = 0.2, vL = 4.0600000000000005, iL = 0.15854794922831655
Iph = 0.2, vL = 4.07, iL = 0.15842078512092506
Iph = 0.2, vL = 4.08, iL = 0.1582925484091459
Iph = 0.2, vL = 4.09, iL = 0.15816319692010444
Iph = 0.2, vL = 4.1, iL = 0.15803268682476115
Iph = 0.2, vL = 4.11, iL = 0.15790097257303257
Iph = 0.2, vL = 4.12, iL = 0.15776800682638367
Iph = 0.2, vL = 4.13, iL = 0.15763374038779396
Iph = 0.2, vL = 4.14, iL = 0.15749812212899636
Iph = 0.2, vL = 4.15, iL = 0.15736109891488287
Iph = 0.2, vL = 4.16, iL = 0.15722261552496988
Iph = 0.2, vL = 4.17, iL = 0.1570826145718079
Iph = 0.2, vL = 4.18, iL = 0.15694103641622006
Iph = 0.2, vL = 4.19, iL = 0.15679781907924725
Iph = 0.2, vL = 4.2, iL = 0.1566528981506732
Iph = 0.2, vL = 4.21, iL = 0.15650620669399937
Iph = 0.2, vL = 4.22, iL = 0.1563576751477332
Iph = 0.2, vL = 4.23, iL = 0.15620723122284957
Iph = 0.2, vL = 4.24, iL = 0.15605479979627931
Iph = 0.2, vL = 4.25, iL = 0.15590030280027267
Iph = 0.2, vL = 4.26, iL = 0.15574365910748228
Iph = 0.2, vL = 4.2700000000000005, iL = 0.1555847844116017
Iph = 0.2, vL = 4.28, iL = 0.15542359110339155
Iph = 0.2, vL = 4.29, iL = 0.15525998814191838
Iph = 0.2, vL = 4.3, iL = 0.15509388092082552
Iph = 0.2, vL = 4.3100000000000005, iL = 0.15492517112944756
Iph = 0.2, vL = 4.32, iL = 0.15475375660857527
Iph = 0.2, vL = 4.33, iL = 0.15457953120066856
Iph = 0.2, vL = 4.34, iL = 0.1544023845943095
Iph = 0.2, vL = 4.3500000000000005, iL = 0.1542222021626799
Iph = 0.2, vL = 4.36, iL = 0.1540388647958391
Iph = 0.2, vL = 4.37, iL = 0.153852248726571
Iph = 0.2, vL = 4.38, iL = 0.15366222534956106
Iph = 0.2, vL = 4.39, iL = 0.1534686610336549
Iph = 0.2, vL = 4.4, iL = 0.1532714169269421
Iph = 0.2, vL = 4.41, iL = 0.15307034875440076
Iph = 0.2, vL = 4.42, iL = 0.15286530660782682
Iph = 0.2, vL = 4.43, iL = 0.15265613472776604
Iph = 0.2, vL = 4.44, iL = 0.15244267127715422
Iph = 0.2, vL = 4.45, iL = 0.1522247481063631
Iph = 0.2, vL = 4.46, iL = 0.15200219050933814
Iph = 0.2, vL = 4.47, iL = 0.15177481697050504
Iph = 0.2, vL = 4.48, iL = 0.1515424389021101
Iph = 0.2, vL = 4.49, iL = 0.15130486037165022
Iph = 0.2, vL = 4.5, iL = 0.151061877819035
Iph = 0.2, vL = 4.51, iL = 0.1508132797631144
Iph = 0.2, vL = 4.5200000000000005, iL = 0.15055884649719245
Iph = 0.2, vL = 4.53, iL = 0.15029834977313533
Iph = 0.2, vL = 4.54, iL = 0.15003155247367123
Iph = 0.2, vL = 4.55, iL = 0.14975820827246658
